YMR174C	PAI3	Ste12p	Doc
YHR138C	YHR138C	Sok2p	Doc
YHR138C	YHR138C	Swi5p	Doc
YHR138C	YHR138C	Msn2p	Doc
YHR138C	YHR138C	Xbp1p	Doc
YHR138C	YHR138C	Aft1p	Doc
YNR034W-A	YNR034W-A	Msn2p	Doc
YNR034W-A	YNR034W-A	Yap1p	Doc
YNR034W-A	YNR034W-A	Cin5p	Doc
YJL144W	YJL144W	Hsf1p	Doc
YJL144W	YJL144W	Ste12p	Doc
YHR139C	SPS100	Msn2p	Doc
YHR139C	SPS100	Msn4p	Doc
YHR139C	SPS100	Sok2p	Doc
YHR139C	SPS100	Sko1p	Doc
YHR139C	SPS100	Hot1p	Doc
YHR139C	SPS100	Ste12p	Doc
YHR139C	SPS100	Cin5p	Doc
YOL083W	ATG34	Oaf1p	Doc
YOL083W	ATG34	Pdr3p	Doc
YOL083W	ATG34	Ste12p	Doc
YOL052C-A	DDR2	Msn2p	Doc
YOL052C-A	DDR2	Msn4p	Doc
YOL052C-A	DDR2	Cin5p	Doc
YOL052C-A	DDR2	Rap1p	Doc
YOL052C-A	DDR2	Skn7p	Doc
YOL052C-A	DDR2	Sok2p	Doc
YOL052C-A	DDR2	Ste12p	Doc
YOL052C-A	DDR2	Xbp1p	Doc
YOL052C-A	DDR2	Met4p	Doc
YOL052C-A	DDR2	Yap1p	Doc
YGL121C	GPG1	Abf1p	Doc
YGL121C	GPG1	Gcn4p	Doc
YGL121C	GPG1	Pdr1p	Doc
YML005W	TRM12	Ino4p	Doc
YML005W	TRM12	Mcm1p	Doc
YCL042W	YCL042W	Sok2p	Doc
YCL042W	YCL042W	Pdr1p	Doc
YCL042W	YCL042W	Fhl1p	Doc
YCL042W	YCL042W	Rap1p	Doc
YCL042W	YCL042W	Pho4p	Doc
YCL042W	YCL042W	Cbf1p	Doc
YLR372W	SUR4	Mga2p	Doc
YEL057C	YEL057C	Cin5p	Doc
YNL160W	YGP1	Msn2p	Doc
YNL160W	YGP1	Msn4p	Doc
YNL160W	YGP1	Pdr3p	Doc
YNL160W	YGP1	Rlm1p	Doc
YNL160W	YGP1	Sok2p	Doc
YNL160W	YGP1	Ste12p	Doc
YNL160W	YGP1	Mcm1p	Doc
YNL160W	YGP1	Pho4p	Doc
YNL160W	YGP1	Yap1p	Doc
YNL160W	YGP1	Tec1p	Doc
YNL160W	YGP1	Met4p	Doc
YNL160W	YGP1	Cin5p	Doc
YLR297W	YLR297W	Yap1p	Doc
YLR297W	YLR297W	Mbp1p	Doc
YLR297W	YLR297W	Swi6p	Doc
YLR297W	YLR297W	Ume6p	Doc
YLR297W	YLR297W	Sok2p	Doc
YLR297W	YLR297W	Msn2p	Doc
YLR267W	BOP2	Pho4p	Doc
YLR267W	BOP2	Gcn4p	Doc
YLR267W	BOP2	Msn2p	Doc
YLR267W	BOP2	Adr1p	Doc
YGR243W	FMP43	Reb1p	Doc
YGR243W	FMP43	Sko1p	Doc
YGR243W	FMP43	Aft1p	Doc
YGR243W	FMP43	Ste12p	Doc
YGR243W	FMP43	Cin5p	Doc
YGR243W	FMP43	Msn2p	Doc
YGR243W	FMP43	Adr1p	Doc
YJR155W	AAD10	Sok2p	Doc
YJR155W	AAD10	Ste12p	Doc
YPR015C	YPR015C	Rfx1p	Doc
YPR015C	YPR015C	Sok2p	Doc
YPR015C	YPR015C	Yap1p	Doc
YPR015C	YPR015C	Tec1p	Doc
YPR015C	YPR015C	Ste12p	Doc
YPR015C	YPR015C	Stb5p	Doc
YPR015C	YPR015C	Tup1p	Doc
YCR104W	PAU3	Rap1p	Doc
